Target ID and Name,Resource Uri,Footprint Geojson Text,Footprint Geojson Text Length
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00001:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00003:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00004:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00005:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00006:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[],""type"":""FeatureCollection""}",42
A. Coral reefs,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00007:5ce4cb2d-384e-44a0-9464-d75ec71ae638/,"{""features"":[{""geometry"":{""coordinates"":[[[153.670406,-4.06293],[153.668518,-4.066357],[153.668861,-4.06927],[153.669548,-4.072869],[153.670406,-4.076296],[153.671093,-4.080409],[153.672638,-4.083494],[153.674011,-4.086064],[153.675385,-4.088977],[153.675385,-4.092062],[153.674698,-4.095318],[153.673668,-4.097374],[153.67075,-4.100973],[153.670921,-4.103372],[153.67075,-4.105428],[153.671608,-4.108855],[153.669548,-4.112111],[153.667488,-4.113996],[153.66251,-4.114682],[153.660107,-4.114167],[153.657703,-4.113825],[153.655987,-4.112968],[153.653069,-4.113311],[153.650837,-4.115024],[153.649464,-4.117937],[153.647747,-4.121707],[153.647232,-4.123078],[153.650322,-4.124278],[153.65221,-4.12462],[153.654099,-4.124278],[153.654957,-4.121879],[153.6553,-4.119308],[153.658047,-4.118451],[153.660965,-4.118623],[153.664742,-4.118794],[153.66766,-4.117937],[153.670921,-4.115881],[153.674355,-4.113825],[153.676758,-4.111254],[153.677959,-4.10817],[153.675728,-4.104743],[153.67487,-4.102344],[153.676243,-4.099773],[153.678989,-4.097031],[153.679848,-4.094804],[153.678131,-4.090691],[153.676929,-4.084522],[153.676758,-4.08178],[153.676414,-4.078524],[153.674526,-4.07424],[153.672981,-4.070641],[153.674355,-4.067728],[153.676414,-4.064301],[153.675728,-4.06173],[153.67281,-4.060359],[153.670406,-4.06293]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[[[153.727741,-4.04218],[153.727913,-4.045093],[153.730316,-4.04595],[153.734436,-4.045093],[153.737354,-4.044236],[153.740788,-4.043894],[153.744564,-4.042351],[153.749886,-4.04098],[153.753147,-4.040123],[153.757267,-4.038924],[153.758984,-4.036867],[153.761559,-4.032274],[153.762589,-4.028332],[153.762932,-4.024048],[153.763275,-4.022163],[153.763447,-4.018735],[153.758297,-4.017878],[153.755894,-4.019763],[153.751774,-4.024219],[153.751087,-4.027818],[153.749886,-4.032274],[153.747311,-4.033988],[153.741131,-4.037244],[153.738041,-4.038101],[153.733749,-4.038958],[153.729115,-4.040329],[153.727741,-4.04218]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",2095
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00001:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[{""geometry"":{""coordinates"":[153.653412,-4.028475],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[153.653412,-4.00791],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[153.643112,-4.005168],""type"":""Point""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",340
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00003:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[{""geometry"":{""coordinates"":[154.150887,-4.436642],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[154.149857,-4.443151],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[154.142647,-4.449659],""type"":""Point""},""properties"":{},""type"":""Feature""},{""geometry"":{""coordinates"":[154.130287,-4.450002],""type"":""Point""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",441
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00004:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[],""type"":""FeatureCollection""}",42
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00005:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[],""type"":""FeatureCollection""}",42
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00006:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[],""type"":""FeatureCollection""}",42
B. Sharks,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00007:2bb4aa56-5f4f-4a2d-889c-e10650ea91f2/,"{""features"":[{""geometry"":{""coordinates"":[[[153.763962,-4.044786],[153.758812,-4.045128],[153.751259,-4.05404],[153.741646,-4.064665],[153.721046,-4.103736],[153.71521,-4.120529],[153.703537,-4.128754],[153.685341,-4.133895],[153.677788,-4.145204],[153.678474,-4.155485],[153.695297,-4.156856],[153.737183,-4.153771],[153.744736,-4.145889],[153.759155,-4.13835],[153.763275,-4.129097],[153.763962,-4.044786]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",489
C. Seagrass beds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00003:bb11d3a0-5b52-4904-9db3-725422bc939e/,"{""features"":[],""type"":""FeatureCollection""}",42
C. Seagrass beds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00004:bb11d3a0-5b52-4904-9db3-725422bc939e/,"{""features"":[],""type"":""FeatureCollection""}",42
C. Seagrass beds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00005:bb11d3a0-5b52-4904-9db3-725422bc939e/,"{""features"":[],""type"":""FeatureCollection""}",42
C. Seagrass beds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00006:bb11d3a0-5b52-4904-9db3-725422bc939e/,"{""features"":[],""type"":""FeatureCollection""}",42
C. Seagrass beds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00007:bb11d3a0-5b52-4904-9db3-725422bc939e/,"{""features"":[{""geometry"":{""coordinates"":[[[153.695297,-4.034539],[153.689461,-4.032825],[153.684998,-4.036253],[153.684654,-4.042422],[153.684654,-4.047221],[153.681564,-4.050991],[153.680191,-4.054761],[153.682938,-4.057846],[153.688087,-4.061959],[153.693237,-4.065729],[153.69976,-4.062644],[153.70388,-4.05716],[153.708344,-4.057503],[153.711777,-4.061273],[153.716927,-4.062644],[153.723106,-4.061581],[153.727913,-4.058839],[153.726196,-4.053355],[153.721733,-4.049928],[153.715897,-4.051299],[153.710403,-4.051299],[153.704224,-4.049585],[153.698387,-4.048557],[153.696327,-4.043758],[153.695297,-4.034539]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",696
D. Mangroves,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00001:899f6b7b-9cb8-4989-a59a-799bb52dcd5c/,"{""features"":[],""type"":""FeatureCollection""}",42
D. Mangroves,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00006:30218d6d-2648-4f51-ba65-01577436018e/,"{""features"":[],""type"":""FeatureCollection""}",42
D. Mangroves,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00007:30218d6d-2648-4f51-ba65-01577436018e/,"{""features"":[{""geometry"":{""coordinates"":[[[153.645515,-4.037226],[153.644485,-4.039454],[153.644142,-4.041339],[153.644314,-4.043224],[153.644657,-4.045109],[153.645,-4.047165],[153.646374,-4.049393],[153.64912,-4.050421],[153.650665,-4.050764],[153.652554,-4.051107],[153.653412,-4.052306],[153.65324,-4.05402],[153.652039,-4.056591],[153.652554,-4.058647],[153.653584,-4.061732],[153.653927,-4.064302],[153.65427,-4.06653],[153.653927,-4.06773],[153.653069,-4.068587],[153.653584,-4.070643],[153.655643,-4.072528],[153.65736,-4.072528],[153.658905,-4.071843],[153.66045,-4.073214],[153.66148,-4.075613],[153.662338,-4.077326],[153.662338,-4.078697],[153.661823,-4.080411],[153.662682,-4.081439],[153.66354,-4.083153],[153.663368,-4.085723],[153.663368,-4.088465],[153.662167,-4.090179],[153.660965,-4.091378],[153.66148,-4.093606],[153.662682,-4.095834],[153.662338,-4.099089],[153.664055,-4.099432],[153.664055,-4.097033],[153.664055,-4.094977],[153.663368,-4.09292],[153.662853,-4.091378],[153.66457,-4.089836],[153.665257,-4.086923],[153.665428,-4.084524],[153.665428,-4.082639],[153.664742,-4.080754],[153.663883,-4.078697],[153.663883,-4.076298],[153.663368,-4.074756],[153.66251,-4.072528],[153.661652,-4.070814],[153.658905,-4.0703],[153.656845,-4.070472],[153.655815,-4.069272],[153.655643,-4.067387],[153.656158,-4.064816],[153.655987,-4.062417],[153.654957,-4.059847],[153.653927,-4.057619],[153.653584,-4.055905],[153.654785,-4.05522],[153.655643,-4.052992],[153.654785,-4.050764],[153.65324,-4.048879],[153.651009,-4.048536],[153.648605,-4.047165],[153.646717,-4.045109],[153.64603,-4.042367],[153.646202,-4.039796],[153.645515,-4.037226]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",1735
E. Seabirds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00001:552f3584-638c-4f44-a9a7-6c9d12e920cb/,"{""features"":[],""type"":""FeatureCollection""}",42
E. Seabirds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00003:552f3584-638c-4f44-a9a7-6c9d12e920cb/,"{""features"":[],""type"":""FeatureCollection""}",42
E. Seabirds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00004:552f3584-638c-4f44-a9a7-6c9d12e920cb/,"{""features"":[],""type"":""FeatureCollection""}",42
E. Seabirds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00005:552f3584-638c-4f44-a9a7-6c9d12e920cb/,"{""features"":[],""type"":""FeatureCollection""}",42
E. Seabirds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00006:552f3584-638c-4f44-a9a7-6c9d12e920cb/,"{""features"":[],""type"":""FeatureCollection""}",42
E. Seabirds,/api/v1/biodiversitytargets/fos-miradimarineprogr-2019-00007:552f3584-638c-4f44-a9a7-6c9d12e920cb/,"{""features"":[{""geometry"":{""coordinates"":[[[153.710918,-3.998015],[153.708172,-4.0023],[153.708515,-4.010012],[153.707314,-4.021495],[153.709373,-4.030235],[153.710575,-4.034862],[153.710747,-4.036062],[153.712463,-4.037433],[153.714523,-4.038804],[153.715725,-4.040174],[153.717442,-4.041717],[153.718643,-4.042402],[153.72139,-4.040517],[153.725166,-4.038804],[153.726711,-4.036233],[153.727741,-4.033662],[153.728428,-4.032291],[153.731518,-4.031949],[153.736496,-4.030063],[153.738384,-4.029378],[153.739243,-4.031263],[153.740444,-4.032291],[153.742504,-4.029892],[153.744049,-4.028007],[153.744392,-4.024922],[153.744392,-4.021495],[153.744564,-4.019438],[153.742161,-4.017553],[153.736839,-4.017896],[153.734264,-4.017553],[153.731861,-4.016353],[153.730488,-4.014639],[153.729286,-4.012926],[153.728771,-4.010526],[153.728943,-4.00847],[153.729115,-4.005728],[153.72757,-4.002471],[153.72551,-4.000072],[153.723278,-3.998187],[153.72036,-3.996644],[153.716412,-3.99613],[153.713837,-3.996302],[153.710918,-3.998015]]],""type"":""Polygon""},""properties"":{},""type"":""Feature""}],""type"":""FeatureCollection""}",1105
HW1. Home security,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00007:68fa151e-7ef9-4562-b29d-2407a35fc52b/,"{""features"":[],""type"":""FeatureCollection""}",42
HW1. Security from disasters,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00001:68fa151e-7ef9-4562-b29d-2407a35fc52b/,"{""features"":[],""type"":""FeatureCollection""}",42
HW1. Security from disasters,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00003:830abeb5-509a-408e-8f1c-034526a20442/,"{""features"":[],""type"":""FeatureCollection""}",42
HW1. Security from disasters,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00004:68fa151e-7ef9-4562-b29d-2407a35fc52b/,"{""features"":[],""type"":""FeatureCollection""}",42
HW1. Security from disasters,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00005:68fa151e-7ef9-4562-b29d-2407a35fc52b/,"{""features"":[],""type"":""FeatureCollection""}",42
HW1. Security from disasters,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00006:68fa151e-7ef9-4562-b29d-2407a35fc52b/,"{""features"":[],""type"":""FeatureCollection""}",42
HW2. Community livelihoods,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00004:901c7463-251c-4484-be08-f20bc44bf265/,"{""features"":[],""type"":""FeatureCollection""}",42
HW2. Community livelihoods,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00005:901c7463-251c-4484-be08-f20bc44bf265/,"{""features"":[],""type"":""FeatureCollection""}",42
HW2. Community livelihoods,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00006:901c7463-251c-4484-be08-f20bc44bf265/,"{""features"":[],""type"":""FeatureCollection""}",42
HW2. Fisheries-based livelihoods,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00001:901c7463-251c-4484-be08-f20bc44bf265/,"{""features"":[],""type"":""FeatureCollection""}",42
HW2. Fisheries-based livelihoods,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00003:8eef0432-17cc-4193-a25a-b199e477934e/,"{""features"":[],""type"":""FeatureCollection""}",42
HW2. Human health,/api/v1/humanwellbeingtargets/fos-miradimarineprogr-2019-00007:901c7463-251c-4484-be08-f20bc44bf265/,"{""features"":[],""type"":""FeatureCollection""}",42
